school,band_name,city,state,event,year,source_url,_source,exclusion_reason
LAUSD All District High School,Honor Band,Los Angeles,CA,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
Pasadena City College Tournament of Roses Honor Band and Herald Trumpets,,Pasadena,CA,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
Penn State University Marching Blue Band,,State College,PA,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
The Salvation Army Tournament of Roses Band,,Los Angeles,CA,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,community band
Santa Clara Vanguard Drum and Bugle Corps,,Santa Clara,CA,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,drum corps
"United States Marine Corps, West Coast Composite Band",,San Diego,CA,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,military band
United States Air Force Band,,Washington,DC,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,military band
University of Southern California Trojan Marching Band,,Los Angeles,CA,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
"Australia's Marching Koalas, Dangar, New South Wales, Australia",,,,Rose,2018,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
Banda De Música Herberto López,"Colegio José Daniel Crespo, Chitré, Herrera, Panama",,,Rose,2018,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
"Burlington Teen Tour Band, Burlington, Ontario, Canada",,,,Rose,2018,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
Georgia Redcoat Marching Band,,Athens,GA,Rose,2018,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Kyoto Tachibana High School,"Kyoto Tachibana High School Green Band, Kyoto, Japan",,,Rose,2018,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
LAUSD All District High School,Honor Band,Los Angeles,CA,Rose,2018,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
Pasadena City College Tournament of Roses Honor Band & Herald Trumpets,,Pasadena,CA,Rose,2018,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
The Pride of Oklahoma Marching Band,,Norman,OK,Rose,2018,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
The Salvation Army Tournament of Roses Band,,Los Angeles,CA,Rose,2018,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,community band
"""The Commandant's Own"" The United States Marine Drum & Bugle Corps",,Washington,DC,Rose,2018,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,drum corps
"United States Marine Corps West Coast Composite Band, MCAS Miramar, MCRD San Diego and",,Camp Pendleton,CA,Rose,2018,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,military band
University of Massachusetts Minuteman Marching Band,,University of Massachusetts Minuteman Marching Band,MA,Rose,2018,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Alabama State University Mighty Marching Hornets,,Montgomery,AL,Rose,2019,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
"All-Izumo Honor Green Band, Izumo, Japan",,,,Rose,2019,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
"Banda Municipal de Acosta, Acosta, San José, Costa Rica",,,,Rose,2019,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
"Calgary Stampede Showband, Calgary, Alberta, Canada",,,,Rose,2019,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
"Cavalcade of Bands Honor Band, Mid-Atlantic Region",,,,Rose,2019,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
"Florida A&M University, The Incomparable Marching ""100""",,Tallahassee,FL,Rose,2019,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Los Angeles Unified School,All District High School Honor Band,Los Angeles,CA,Rose,2019,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
Na Koa Ali'I,Hawai'i All-State Marching Band,Kaneohe,HI,Rose,2019,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
The Ohio State University Marching Band,,Columbus,OH,Rose,2019,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Pacific Crest Drum and Bugle Corps,,Diamond Bar,CA,Rose,2019,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,drum corps
Pasadena City College Tournament of Roses Honor Band & Herald Trumpets,,Pasadena,CA,Rose,2019,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
"Royal Swedish Cadet Band, Karlskrona, Sweden",,,,Rose,2019,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
The Salvation Army Tournament of Roses Band,,Long Beach,CA,Rose,2019,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,community band
United States Marine Corps West Coast Composite Band,,San Diego,CA,Rose,2019,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,military band
University of Washington Husky Marching Band,,Seattle,WA,Rose,2019,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Banda El Salvador: Grande Como Su Gente,,,,Rose,2020,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
Banda Municipal de Zarcero,,,,Rose,2020,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
Centenaria Banda Colegial,University of Puerto Rico,Mayaguez,PR,Rose,2020,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Helsingør Pigegarde,,,,Rose,2020,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
Japan Honor Green Band,,,,Rose,2020,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
Los Angeles Unified School,All District High School Honor Band,Los Angeles,CA,Rose,2020,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
Oregon Marching Band,,Eugene,OR,Rose,2020,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Pasadena City College Tournament of Roses Honor Band & Herald Trumpets,,Pasadena,CA,Rose,2020,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
The Salvation Army Tournament of Roses Band,,Long Beach,CA,Rose,2020,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,community band
"Southern University ""Human Jukebox"" Marching Band",,Baton Rouge,LA,Rose,2020,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
United States Marine Corps West Coast Composite Band,,San Diego,CA,Rose,2020,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,military band
University of Wisconsin Marching Band,,Madison,WI,Rose,2020,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
"Bands of America Honor Band, Music for All",,Indianapolis,IN,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
The Band Directors Marching Band,,Pickerington,OH,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
Georgia State University Panther Band,,Atlanta,GA,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Gibson County Tennessee Mass Band,,Dyer,TN,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
Los Angeles Unified School,All District High School Honor Band,Los Angeles,CA,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
Ohio State University Marching Band,,Columbus,OH,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Pasadena City College Tournament of Roses Honor Band & Herald Trumpets,,Pasadena,CA,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
The Salvation Army Tournament of Roses Band,,Los Angeles,CA,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,community band
Tennessee State University Aristocrat of Bands,,Nashville,TN,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
University of Utah Marching Band,,Salt Lake City,UT,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
United States Marine Corps West Coast Composite Band,,San Diego,CA,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,military band
"All Gifu Honor Green Band, Gifu, Japan",,,,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
"Banda de Musica La Primavera, Santiago de Veraguas, Panama",,,,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
"Buhos Marching Band, Veracruz, Mexico",,,,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
Fresno State University Bulldog Marching Band,,Fresno,CA,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Los Angeles Unified School,All District High School Honor Band,Los Angeles,CA,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
Norfolk State University Spartan Legion Marching Band,,Norfolk,VA,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Pasadena City College Tournament of Roses Honor Band & Herald Trumpets,,Pasadena,CA,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
Salvation Army Tournament of Roses Band,,Los Angeles,CA,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,community band
Taipei First Girls High School,"Marching Band, Honor Guard and Color Guard, Taipei, Taiwan, Republic of China",,,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
"Triuggio Marching Band Triuggio, Monza, and Brianza, Italy",,,,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
United States Marine Corps West Coast Composite Band,,San Diego,CA,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,military band
Penn State University Marching Blue Band,,State College,PA,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
University of Utah Marching Band,,Salt Lake City,UT,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
"Banda Municipal de Zarcero, Zarcero, Costa Rica",,,,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
North Carolina A&T State University Blue and Gold Marching Machine,,Greensboro,NC,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Los Angeles Unified School,All District High School Honor Band,Los Angeles,CA,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
The University of Alabama Million Dollar Band,,Tuscaloosa,AL,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
